Index,Sentence_index,Sentence,POS_Tagged_Tokens,Lemmas
363,32,"A ""date"" with you (you pay for dinner and an activity).",a[DT],a
364,32,,gift[NN],gift
365,32,,certificate[NN],certificate
366,32,,for[IN],for
367,32,,an[DT],an
368,32,,activity[NN],activity
369,32,,like[IN],like
370,32,,bowling[NN],bowling
371,32,,",[,]",","
372,32,,mini-golf[NN],mini-golf
373,32,,",[,]",","
374,32,,rock[NN],rock
375,32,,climbing[NN],climbing
376,32,,",[,]",","
377,32,,or[CC],or
378,32,,an[DT],an
379,32,,escape[NN],escape
380,32,,room[NN],room
381,32,,.[.],.
382,33,6,a[DT],a
383,33,,cooking[JJ],cooking
384,33,,class[NN],class
385,33,,",[,]",","
386,33,,art[NN],art
387,33,,workshop[NN],workshop
388,33,,",[,]",","
389,33,,or[CC],or
390,33,,music[NN],music
391,33,,lesson[NN],lesson
392,33,,.[.],.
393,34,Consumables:,a[DT],a
394,34,,``[``],``
395,34,,date[NN],date
396,34,,''[''],''
397,34,,with[IN],with
398,34,,you[PRP],you
399,34,,([(],(
400,34,,you[PRP],you
401,34,,pay[VBP],pay
402,34,,for[IN],for
403,34,,dinner[NN],dinner
404,34,,and[CC],and
405,34,,an[DT],an
406,34,,activity[NN],activity
407,34,,)[)],)
408,34,,.[.],.
409,35,Specialty snacks or candy (especially for teens).,6[CD],6
410,35,,.[.],.
411,36,High-quality art supplies (if they're creative).,consumables[NNS],consumables
412,36,,:[:],:
413,36,,specialty[NN],specialty
414,36,,snacks[NNS],snack
415,36,,or[CC],or
416,36,,candy[NN],candy
417,36,,([(],(
418,36,,especially[RB],especially
419,36,,for[IN],for
420,36,,teens[NNS],teen
421,36,,)[)],)
422,36,,.[.],.
423,37,"Bath bombs, nice soaps (for older kids).",high-quality[JJ],high-quality
424,37,,art[NN],art
425,37,,supplies[NNS],supply
426,37,,([(],(
427,37,,if[IN],if
428,37,,they[PRP],they
429,37,,'re[VBP],'re
430,37,,creative[JJ],creative
431,37,,)[)],)
432,37,,.[.],.
433,38,Magazines or subscription boxes tailored to their interests.,bath[NN],bath
434,38,,bombs[NN],bomb
435,38,,",[,]",","
436,38,,nice[JJ],nice
437,38,,soaps[NNS],soap
438,38,,([(],(
439,38,,for[IN],for
440,38,,older[JJR],old
441,38,,kids[NNS],kid
442,38,,)[)],)
443,38,,.[.],.
444,39,7,magazines[NNS],magazine
445,39,,or[CC],or
446,39,,subscription[NN],subscription
447,39,,boxes[NNS],box
448,39,,tailored[VBD],tailor
449,39,,to[TO],to
450,39,,their[PRP$],their
451,39,,interests[NNS],interest
452,39,,.[.],.
453,40,"Quality Over Quantity: One thoughtful, well-chosen gift is often better than several mediocre ones.",7[CD],7
454,40,,.[.],.
455,41,8,quality[NN],quality
456,41,,over[IN],over
457,41,,quantity[NN],quantity
458,41,,:[:],:
459,41,,one[CD],one
460,41,,thoughtful[NN],thoughtful
461,41,,",[,]",","
462,41,,well-chosen[JJ],well-chosen
463,41,,gift[NN],gift
464,41,,is[VBZ],be
465,41,,often[RB],often
466,41,,better[JJR],good
467,41,,than[IN],than
468,41,,several[JJ],several
469,41,,mediocre[JJ],mediocre
470,41,,ones[NNS],one
471,41,,.[.],.
472,42,"Group Gifts: If you have many nieces and nephews, or if there's a big-ticket item the whole family could enjoy, consider pooling resources with other family members.",8[CD],8
473,42,,.[.],.
474,43,9,group[NN],group
475,43,,gifts[NNS],gift
476,43,,:[:],:
477,43,,if[IN],if
478,43,,you[PRP],you
479,43,,have[VBP],have
480,43,,many[JJ],many
481,43,,nieces[NNS],niece
482,43,,and[CC],and
483,43,,nephews[NNS],nephew
484,43,,",[,]",","
485,43,,or[CC],or
486,43,,if[IN],if
487,43,,there[EX],there
488,43,,'s[VBZ],'s
489,43,,a[DT],a
490,43,,big-ticket[JJ],big-ticket
491,43,,item[NN],item
492,43,,the[DT],the
493,43,,whole[JJ],whole
494,43,,family[NN],family
495,43,,could[MD],could
496,43,,enjoy[VB],enjoy
497,43,,",[,]",","
498,43,,consider[VB],consider
499,43,,pooling[VBG],pool
500,43,,resources[NNS],resource
501,43,,with[IN],with
502,43,,other[JJ],other
503,43,,family[NN],family
504,43,,members[NNS],member
505,43,,.[.],.
506,44,"Gift Receipts: Always include one, just in case!",9[CD],9
507,44,,.[.],.
508,45,II,gift[NN],gift
509,45,,receipts[NNS],receipt
510,45,,:[:],:
511,45,,always[RB],always
512,45,,include[VBP],include
513,45,,one[CD],one
514,45,,",[,]",","
515,45,,just[RB],just
516,45,,in[IN],in
517,45,,case[NN],case
518,45,,![.],!
519,46,Age-Specific Ideas:,ii[NN],ii
520,46,,.[.],.
521,47,A,age-specific[JJ],age-specific
522,47,,ideas[NNS],idea
523,47,,:[:],:
524,47,,a[DT],a
525,47,,.[.],.
526,48,Babies (0-12 months):,babies[NNS],baby
527,48,,([(],(
528,48,,0-12[JJ],0-12
529,48,,months[NNS],month
530,48,,)[)],)
531,48,,:[:],:
532,48,,focus[NN],focus
533,48,,:[:],:
534,48,,sensory[JJ],sensory
535,48,,stimulation[NN],stimulation
536,48,,",[,]",","
537,48,,developmental[JJ],developmental
538,48,,milestones[NNS],milestone
539,48,,",[,]",","
540,48,,practical[JJ],practical
541,48,,help[NN],help
542,48,,for[IN],for
543,48,,parents[NNS],parent
544,48,,.[.],.
545,49,"Sensory stimulation, developmental milestones, practical help for parents.",ideas[NNS],idea
546,49,,:[:],:
547,49,,board[NN],board
548,49,,books[NNS],book
549,49,,:[:],:
550,49,,durable[JJ],durable
551,49,,",[,]",","
552,49,,colorful[JJ],colorful
553,49,,",[,]",","
554,49,,and[CC],and
555,49,,never[RB],never
556,49,,too[RB],too
557,49,,early[JJ],early
558,49,,to[TO],to
559,49,,start[VB],start
560,49,,reading[NN],reading
561,49,,![.],!
562,50,"Durable, colorful, and never too early to start reading!",soft[JJ],soft
563,50,,toys[NNS],toy
564,50,,:[:],:
565,50,,rattles[NNS],rattle
566,50,,",[,]",","
567,50,,crinkly[JJ],crinkly
568,50,,toys[NN],toy
569,50,,",[,]",","
570,50,,soft[JJ],soft
571,50,,blocks[NNS],block
572,50,,.[.],.
573,51,"Rattles, crinkly toys, soft blocks.",sensory[JJ],sensory
574,51,,play[NN],play
575,51,,mats[NNS],mat
576,51,,:[:],:
577,51,,with[IN],with
578,51,,different[JJ],different
579,51,,textures[NNS],texture
580,51,,",[,]",","
581,51,,mirrors[NNS],mirror
582,51,,",[,]",","
583,51,,and[CC],and
584,51,,dangling[VBG],dangle
585,51,,toys[NNS],toy
586,51,,.[.],.
587,52,"With different textures, mirrors, and dangling toys.",teething[VBG],teethe
588,52,,toys[NNS],toy
589,52,,:[:],:
590,52,,safe[JJ],safe
591,52,,and[CC],and
592,52,,soothing[VBG],soothe
593,52,,.[.],.
594,53,Safe and soothing.,clothes[NNS],clothes
595,53,,:[:],:
596,53,,always[RB],always
597,53,,useful[JJ],useful
598,53,,",[,]",","
599,53,,but[CC],but
600,53,,size[NN],size
601,53,,up[RB],up
602,53,,![.],!
603,54,"Always useful, but size up! (e.g., buy 6-12 months for a 3-month-old).",([(],(
604,54,,e.g.[NN],e.g.
605,54,,",[,]",","
606,54,,buy[VB],buy
607,54,,6-12[JJ],6-12
608,54,,months[NNS],month
609,54,,for[IN],for
610,54,,a[DT],a
611,54,,3-month-old[JJ],3-month-old
612,54,,)[)],)
613,54,,.[.],.
614,55,"Diapers (often welcome!), wipes, baby-safe lotion, baby food subscription.",practical[JJ],practical
615,55,,gifts[NNS],gift
616,55,,([(],(
617,55,,ask[VB],ask
618,55,,parents[NNS],parent
619,55,,first[RB],first
620,55,,![.],!
621,56,"A personalized ornament, a framed photo session certificate.",)[)],)
622,56,,:[:],:
623,56,,diapers[NNS],diaper
624,56,,([(],(
625,56,,often[RB],often
626,56,,welcome[VBP],welcome
627,56,,![.],!
628,57,B,)[)],)
629,57,,",[,]",","
630,57,,wipes[NNS],wipe
631,57,,",[,]",","
632,57,,baby-safe[JJ],baby-safe
633,57,,lotion[NN],lotion
634,57,,",[,]",","
635,57,,baby[NN],baby
636,57,,food[NN],food
637,57,,subscription[NN],subscription
638,57,,.[.],.
639,58,Toddlers (1-3 years):,memory[NN],memory
640,58,,gifts[NNS],gift
641,58,,:[:],:
642,58,,a[DT],a
643,58,,personalized[JJ],personalized
644,58,,ornament[NN],ornament
645,58,,",[,]",","
646,58,,a[DT],a
647,58,,framed[JJ],framed
648,58,,photo[NN],photo
649,58,,session[NN],session
650,58,,certificate[NN],certificate
651,58,,.[.],.
652,59,"Exploration, gross motor skills, imaginative play, safety.",b[NN],b
653,59,,.[.],.
654,60,"Large blocks like Duplo, wooden blocks.",toddlers[NNS],toddler
655,60,,([(],(
656,60,,1-3[CD],1-3
657,60,,years[NNS],year
658,60,,)[)],)
659,60,,:[:],:
660,60,,focus[NN],focus
661,60,,:[:],:
662,60,,exploration[NN],exploration
663,60,,",[,]",","
664,60,,gross[JJ],gross
665,60,,motor[NN],motor
666,60,,skills[NNS],skill
667,60,,",[,]",","
668,60,,imaginative[JJ],imaginative
669,60,,play[NN],play
670,60,,",[,]",","
671,60,,safety[NN],safety
672,60,,.[.],.
673,61,"Wagons, toy animals on a string.",ideas[NNS],idea
674,61,,:[:],:
675,61,,building[NN],building
676,61,,blocks[NNS],block
677,61,,:[:],:
678,61,,large[JJ],large
679,61,,blocks[NNS],block
680,61,,like[IN],like
681,61,,duplo[NN],duplo
682,61,,",[,]",","
683,61,,wooden[JJ],wooden
684,61,,blocks[NNS],block
685,61,,.[.],.
686,62,"Chunky wooden puzzles, shape sorters.",push-and-pull[JJ],push-and-pull
687,62,,toys[NNS],toy
688,62,,:[:],:
689,62,,wagons[NNS],wagon
690,62,,",[,]",","
691,62,,toy[NN],toy
692,62,,animals[NNS],animal
693,62,,on[IN],on
694,62,,a[DT],a
695,62,,string[NN],string
696,62,,.[.],.
697,63,"Toy piano, drum, shakers.",simple[JJ],simple
698,63,,puzzles[NNS],puzzle
699,63,,:[:],:
700,63,,chunky[NN],chunky
701,63,,wooden[NN],wooden
702,63,,puzzles[NNS],puzzle
703,63,,",[,]",","
704,63,,shape[NN],shape
705,63,,sorters[NNS],sorter
706,63,,.[.],.
707,64,Engaging stories with bright illustrations.,musical[JJ],musical
708,64,,instruments[NNS],instrument
709,64,,:[:],:
710,64,,toy[NN],toy
711,64,,piano[NN],piano
712,64,,",[,]",","
713,64,,drum[NN],drum
714,64,,",[,]",","
715,64,,shakers[NNS],shaker
716,64,,.[.],.
717,65,"Chunky crayons, washable paints, large paper.",sturdy[JJ],sturdy
718,65,,picture[NN],picture
719,65,,books[NNS],book
720,65,,:[:],:
721,65,,engaging[VBG],engage
722,65,,stories[NNS],story
723,65,,with[IN],with
724,65,,bright[JJ],bright
725,65,,illustrations[NNS],illustration
726,65,,.[.],.
727,66,"Small slide, sandbox, water table (if they have space).",art[NN],art
728,66,,supplies[NNS],supply
729,66,,:[:],:
730,66,,chunky[NN],chunky
731,66,,crayons[NNS],crayon
732,66,,",[,]",","
733,66,,washable[JJ],washable
734,66,,paints[NNS],paint
735,66,,",[,]",","
736,66,,large[JJ],large
737,66,,paper[NN],paper
738,66,,.[.],.
739,67,"Simple hats, animal ears, capes.",outdoor[JJ],outdoor
740,67,,toys[NNS],toy
741,67,,:[:],:
742,67,,small[JJ],small
743,67,,slide[NN],slide
744,67,,",[,]",","
745,67,,sandbox[NN],sandbox
746,67,,",[,]",","
747,67,,water[NN],water
748,67,,table[NN],table
749,67,,([(],(
750,67,,if[IN],if
751,67,,they[PRP],they
752,67,,have[VBP],have
753,67,,space[NN],space
754,67,,)[)],)
755,67,,.[.],.
756,68,C,dress-up[JJ],dress-up
757,68,,clothes[NNS],clothes
758,68,,:[:],:
759,68,,simple[JJ],simple
760,68,,hats[NNS],hat
761,68,,",[,]",","
762,68,,animal[JJ],animal
763,68,,ears[NNS],ear
764,68,,",[,]",","
765,68,,capes[NNS],cape
766,68,,.[.],.
767,69,Preschoolers (3-5 years):,c.[NN],c.
768,69,,preschoolers[NNS],preschooler
769,69,,([(],(
770,69,,3-5[CD],3-5
771,69,,years[NNS],year
772,69,,)[)],)
773,69,,:[:],:
774,69,,focus[NN],focus
775,69,,:[:],:
776,69,,imagination[NN],imagination
777,69,,",[,]",","
778,69,,role-playing[NN],role-playing
779,69,,",[,]",","
780,69,,fine[JJ],fine
781,69,,motor[NN],motor
782,69,,skills[NNS],skill
783,69,,",[,]",","
784,69,,learning[VBG],learn
785,69,,through[IN],through
786,69,,play[NN],play
787,69,,.[.],.
788,70,"Imagination, role-playing, fine motor skills, learning through play.",ideas[NNS],idea
789,70,,:[:],:
790,70,,dress-up[JJ],dress-up
791,70,,clothes[NNS],clothes
792,70,,:[:],:
793,70,,more[RBR],more
794,70,,elaborate[JJ],elaborate
795,70,,costumes[NNS],costume
796,70,,([(],(
797,70,,superheroes[NNS],superheroes
798,70,,",[,]",","
799,70,,princesses[NNS],princess
800,70,,",[,]",","
801,70,,doctors[NNS],doctor
802,70,,)[)],)
803,70,,.[.],.
804,71,"More elaborate costumes (superheroes, princesses, doctors).",play-doh/kinetic[JJ],play-doh/kinetic
805,71,,sand[NN],sand
806,71,,:[:],:
807,71,,with[IN],with
808,71,,tools[NNS],tool
809,71,,and[CC],and
810,71,,molds[NNS],mold
811,71,,.[.],.
812,72,With tools and molds.,art[NN],art
813,72,,easel[NN],easel
814,72,,&[CC],&
815,72,,supplies[NNS],supply
816,72,,:[:],:
817,72,,with[IN],with
818,72,,chalk[NN],chalk
819,72,,",[,]",","
820,72,,dry-erase[JJ],dry-erase
821,72,,markers[NNS],marker
822,72,,",[,]",","
823,72,,paints[NNS],paint
824,72,,.[.],.
825,73,"With chalk, dry-erase markers, paints.",picture[NN],picture
826,73,,books/early[JJ],books/early
827,73,,readers[NNS],reader
828,73,,:[:],:
829,73,,engaging[VBG],engage
830,73,,stories[NNS],story
831,73,,",[,]",","
832,73,,popular[JJ],popular
833,73,,characters[NNS],character
834,73,,.[.],.
835,74,"Engaging stories, popular characters.",simple[JJ],simple
836,74,,board[NN],board
837,74,,games[NNS],game
838,74,,:[:],:
839,74,,candy[NN],candy
840,74,,land[NN],land
841,74,,",[,]",","
842,74,,chutes[NNS],chute
843,74,,and[CC],and
844,74,,ladders[NNS],ladder
845,74,,",[,]",","
846,74,,matching[VBG],match
847,74,,games[NNS],game
848,74,,.[.],.
849,75,"Candy Land, Chutes and Ladders, matching games.",lego[NN],lego
850,75,,duplo/large[NN],duplo/large
851,75,,lego[JJ],lego
852,75,,sets[NNS],set
853,75,,:[:],:
854,75,,themed[VBN],theme
855,75,,sets[NNS],set
856,75,,related[VBN],relate
857,75,,to[TO],to
858,75,,their[PRP$],their
859,75,,interests[NNS],interest
860,75,,.[.],.
861,76,Themed sets related to their interests.,vehicle[NN],vehicle
862,76,,sets[NNS],set
863,76,,:[:],:
864,76,,toy[NN],toy
865,76,,cars[NNS],car
866,76,,",[,]",","
867,76,,trucks[NNS],truck
868,76,,",[,]",","
869,76,,trains[NNS],train
870,76,,",[,]",","
871,76,,play[NN],play
872,76,,garages[NNS],garage
873,76,,.[.],.
874,77,"Toy cars, trucks, trains, play garages.",outdoor[JJ],outdoor
875,77,,gear[NN],gear
876,77,,:[:],:
877,77,,scooter[NN],scooter
878,77,,([(],(
879,77,,with[IN],with
880,77,,helmet[NN],helmet
881,77,,![.],!
882,78,"Scooter (with helmet!), tricycle, chalk.",)[)],)
883,78,,",[,]",","
884,78,,tricycle[NN],tricycle
885,78,,",[,]",","
886,78,,chalk[NN],chalk
887,78,,.[.],.
888,79,D,d.[NN],d.
889,79,,young[JJ],young
890,79,,kids[NNS],kid
891,79,,([(],(
892,79,,6-9[CD],6-9
893,79,,years[NNS],year
894,79,,)[)],)
895,79,,:[:],:
896,79,,focus[NN],focus
897,79,,:[:],:
898,79,,developing[NN],developing
899,79,,hobbies[NNS],hobby
900,79,,",[,]",","
901,79,,independent[JJ],independent
902,79,,play[NN],play
903,79,,",[,]",","
904,79,,learning[VBG],learn
905,79,,challenges[NNS],challenge
906,79,,",[,]",","
907,79,,social[JJ],social
908,79,,games[NNS],game
909,79,,.[.],.
910,80,Young Kids (6-9 years):,ideas[NNS],idea
911,80,,:[:],:
912,80,,lego[JJ],lego
913,80,,sets[NNS],set
914,80,,:[:],:
915,80,,more[RBR],more
916,80,,complex[JJ],complex
917,80,,themed[VBN],theme
918,80,,sets[NNS],set
919,80,,([(],(
920,80,,star[NN],star
921,80,,wars[NNS],war
922,80,,",[,]",","
923,80,,city[NN],city
924,80,,",[,]",","
925,80,,friends[NNS],friend
926,80,,)[)],)
927,80,,.[.],.
928,81,"Developing hobbies, independent play, learning challenges, social games.",craft[NN],craft
929,81,,kits[NNS],kit
930,81,,:[:],:
931,81,,friendship[JJ],friendship
932,81,,bracelet[NN],bracelet
933,81,,making[NN],making
934,81,,",[,]",","
935,81,,painting[VBG],paint
936,81,,kits[NNS],kit
937,81,,",[,]",","
938,81,,science[NN],science
939,81,,kits[NNS],kit
940,81,,",[,]",","
941,81,,slime[JJ],slime
942,81,,kits[NNS],kit
